season,round_number,voter,submitter,points,title,artist,submitted_obscurity,submitted_energy_pct,submitted_top_tag,spotify_uri
1,,Kristin,Mashew,2,Hideaway,Kiesza,35,31,,spotify:track:0c6xIDDpzE81m2q797ordA
1,,Kristin,Mashew,4,"I Believe in a Thing Called Love","The Darkness",24,90,rock,spotify:track:756CJtQRFSxEx9jV4P9hpA
1,,Kristin,Mashew,5,"The Suffering","Coheed and Cambria",43,13,,spotify:track:4dcUque6026WExzwJYWG7H
1,,Kristin,Mashew,3,"Purple Haze","Jimi Hendrix",16,60,"classic rock",spotify:track:0wJoRiX5K5BxlqZTolB2LD
1,,Kristin,Mashew,2,"Come Down","Anderson .Paak",34,72,,spotify:track:276zciJ7Fg7Jk6Ta6QuLkp
1,,Kristin,Mashew,3,"Guerrilla Radio","Rage Against The Machine",21,41,rock,spotify:track:1wsRitfRRtWyEapl0q22o8
1,,Kristin,Mashew,1,Abissama,"Incredible Polo",81,50,,spotify:track:2mNmKVBJ1U1nuPFJ5VGjCl
1,,Kristin,"Sasha Mariana",2,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",95,86,,spotify:track:7LcfRTgAVTs5pQGEQgUEzN
1,,Kristin,"Sasha Mariana",5,"Hooked On A Feeling","Blue Swede, Björn Skifs",82,50,,spotify:track:6Ac4NVYYl2U73QiTt11ZKd
1,,Kristin,"Sasha Mariana",4,"Blurred Lines","Robin Thicke, T.I., Pharrell Williams",83,32,,spotify:track:0n4bITAu0Y0nigrz3MFJMb
1,,Kristin,"Sasha Mariana",3,vampire,"Olivia Rodrigo",1,55,"pop rock",spotify:track:1kuGVB7EU95pJObxwvfwKS
1,,Kristin,"Sasha Mariana",4,"La Vie en rose","Édith Piaf",42,30,,spotify:track:3lAun9V0YdTlCSIEXPvfsY
1,,Kristin,gregamariani,5,"Party In The U.S.A.","Miley Cyrus",8,57,pop,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1
1,,Kristin,gregamariani,3,"Hands Down","Dashboard Confessional",29,42,,spotify:track:3Gd6RkNpDERm3rVm9xk2BZ
1,,Kristin,jellydru,2,"All Star","Smash Mouth",14,63,rock,spotify:track:3cfOd4CMv2snFaKAnMdnvK
1,,Kristin,jellydru,1,BIRDBRAIN,"Jamie Paige, OK Glass",85,65,,spotify:track:2DAZakhs7RRCoM6pvLpUEz
1,,Kristin,jellydru,3,"Flight of the Crows",Jhariah,50,61,,spotify:track:2SgpLPEfLGWDMkCT9nFAO6
1,,Kristin,jellydru,1,"Немое кино",Grad!ent,81,87,,spotify:track:1lBOIouZlyCvGPTtDF5p5d
1,,Kristin,lorimariani,6,"Don't You (Forget About Me)","Simple Minds",20,37,80s,spotify:track:6yEAAIEHu4GcUFptg5W9kI
1,,Kristin,lorimariani,2,"The Reason",Hoobastank,8,86,rock,spotify:track:58AwxWLaRHn2lTqqH9dLkU
1,,Kristin,lorimariani,3,"Losing My Religion",R.E.M.,4,12,rock,spotify:track:31AOj9sFz2gM0O3hMARRBx
1,,Kristin,lorimariani,5,"Dancing In the Dark","Bruce Springsteen",15,40,rock,spotify:track:7FwBtcecmlpc1sLySPXeGE
1,,Kristin,lorimariani,2,"Sultans of Swing","Dire Straits",5,46,"classic rock",spotify:track:6cr6UDpkjEaMQ80OjWqEBQ
1,,Kristin,lorimariani,4,"99 Luftballons",Nena,22,21,80s,spotify:track:2IJftBfq7pJ43tfnOR0RB3
1,,Kristin,margs,2,"My Heart Will Go On - Love Theme from ""Titanic""","Céline Dion",42,35,,spotify:track:33LC84JgLvK2KuW43MfaNq
1,,Kristin,margs,2,"Call Me Maybe","Carly Rae Jepsen",5,33,pop,spotify:track:3TGRqZ0a2l1LRblBkJoaDx
1,,Kristin,margs,3,"Sugar, We're Goin Down","Fall Out Boy",8,79,"pop punk",spotify:track:2TfSHkHiFO4gRztVIkggkE
1,,Kristin,margs,3,"Blank Space","Taylor Swift",2,53,pop,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g
1,,Kristin,margs,2,"Baby Got Back","Sir Mix-A-Lot",35,39,Hip-Hop,spotify:track:1SAkL1mYNJlaqnBQxVZrRl
1,,Kristin,margs,2,"Graduation (Friends Forever)","Vitamin C",65,31,,spotify:track:45V4Mk7vZV2b9JfSWuUX9m
1,,Kristin,margs,3,"Dos Oruguitas","Sebastian Yatra",49,9,,spotify:track:5rohUzwEoRsUvAA1Bf3DLo
1,,Kristin,missmara,3,Starboy,"The Weeknd, Daft Punk",65,99,,spotify:track:7MXVkk9YMctZqd1Srtv4MB
1,,Kristin,missmara,3,"Somebody That I Used To Know","Gotye, Kimbra",3,16,indie,spotify:track:4wCmqSrbyCgxEXROQE6vtV
1,,Kristin,missmara,3,"Tiny Dancer","Elton John",17,49,"classic rock",spotify:track:2TVxnKdb3tqe1nhQWwwZCO
1,,Kristin,missmara,1,"Ca Plane Pour Moi","Plastic Bertrand",65,27,,spotify:track:4sf4Lq52b2iCoAgpge7a9g
1,,Kristin,mmariani13,3,"Blah Blah Blah (feat. 3OH!3)","Kesha, 3OH!3",83,60,,spotify:track:7lWUJpax919G4JdaFEVmCy
1,,Kristin,mmariani13,4,"I Write Sins Not Tragedies","Panic! At The Disco",4,74,rock,spotify:track:4bPQs0PHn4xbipzdPfn6du
1,,Kristin,mmariani13,2,"It's Gonna Be Me",*NSYNC,34,34,pop,spotify:track:2AW37v0bDyuOzGP3XnmFuA
1,,Kristin,mmariani13,3,"Good Riddance (Time of Your Life)","Green Day",12,45,acoustic,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ
1,,Kristin,mmariani13,5,"Killing Me Softly With His Song","Fugees, Ms. Lauryn Hill",79,32,,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl
1,,Kristin,mmariani13,1,Faufile,"Charlotte Cardin",80,40,,spotify:track:3pgnyg25pkcNlcKuaKnh6b
1,,Mashew,Kristin,5,"The Fox (What Does the Fox Say?)",Ylvis,49,82,,spotify:track:5HOpkTTVcmZHnthgyxrIL8
1,,Mashew,Kristin,5,"Bohemian Rhapsody - Remastered 2011",Queen,8,38,"classic rock",spotify:track:7tFiyTwD0nx5a1eklYtX2J
