spotify_uri,title,artist,album,popularity_proxy,spotify_popularity,listeners,playcount,tags,energy,bpm,key,scale,duration_s,has_lyrics,word_count,line_count
spotify:track:0ANIURXWEceAlBhklvA2Tg,"Crown Of The Valley","Jets To Brazil","Orange Rhyming Dictionary",70,32,60553,256044,[],78.3,100.4,A,major,295.47,1,198,33
spotify:track:0CAfXk7DXMnon4gLudAp7J,"Low (feat. T-Pain)","Flo Rida, T-Pain","Mail on Sunday",90,87,1499871,8124159,"[""Hip-Hop"",""Flo Rida"",""rap"",""dance"",""hip hop""]",52.9,127.8,D,minor,230.82,1,709,103
spotify:track:0ESdtt9cjGZUkUbaubSrv2,"Goodbye Blue Sky","Pink Floyd","The Wall",88,,856568,5766370,[],20.7,108.2,D,major,167.24,1,97,20
spotify:track:0HwSU5GzCClVScJFE6VZpM,"Run, Rabbit, Run!","Flanagan & Allen","Flanagan & Allen",66,,26659,114994,[],27.0,87.9,D,major,170.49,1,148,20
spotify:track:0OX9lzZxKlbtn3c2d97uqz,"Long Legged Larry","Aesop Rock","Long Legged Larry",67,,25219,156515,[],37.5,85.2,G,minor,200.55,1,518,59
spotify:track:0Roy7wwiH17bJT5CsZTMtP,"Por Un Amor","Linda Ronstadt","Canciones de mi Padre (Deluxe Edition)",58,36,7856,28667,[],36.4,86.5,B,major,179.08,1,107,27
spotify:track:0W8ykUof4RXSQAXvzMc5u2,Dilate,"Ani DiFranco",Dilate,69,,43180,223983,[],37.8,104.2,A,major,290.03,1,364,63
spotify:track:0YdjfAmUyxF4Dh0HNEhmoI,"JU$T (feat. Pharrell Williams & Zack de la Rocha)","El-P, Killer Mike, Run The Jewels, Zack De La Rocha, Pharrell Williams",RTJ4,43,,654,2315,[],100.0,133.9,A#,minor,206.14,1,735,87
spotify:track:0c6xIDDpzE81m2q797ordA,Hideaway,Kiesza,"Sound Of A Woman",85,57,533051,3786985,[],30.9,122.3,C,minor,274.74,1,331,44
spotify:track:0csqJEOr3dDVzmXbv9HT79,"Long Black Veil","Mike Ness","Cheating At Solitaire",61,,12623,49270,[],50.7,106.1,F,major,244.11,1,173,22
spotify:track:0dbTQYW3Ad1FTzIA9t90E8,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne, Kendrick Lamar","Tha Carter V",57,,4410,29139,[],75.7,122.3,E,minor,330.92,1,1320,161
spotify:track:0jVo3e34A15l6MNu1O3cfa,"Red Right Hand - 2011 Remaster","Nick Cave & The Bad Seeds","Let Love In (2011 Remaster)",80,,303498,1465452,[],63.9,114.8,B,major,285.79,1,291,28
spotify:track:0oigSejhoNen2EdNAIFcm5,"Hollywood Baby","100 gecs","10,000 gecs",85,58,332373,4046630,"[""hyperpop"",""pop punk"",""pop"",""alternative rock"",""glitch""]",100.0,76.0,A#,major,190.74,1,272,47
spotify:track:0sSdFMuYrn3N9moumV466B,"He Can Only Hold Her","Amy Winehouse","Back To Black",90,67,1155757,7836385,"[""soul"",""jazz"",""female vocalists"",""british"",""Amy Winehouse""]",88.9,97.0,F#,major,164.88,1,125,20
spotify:track:0tij6loXatN15kmrAjWWRr,"Welcome to Hard Times","Charley Crockett","Welcome to Hard Times",72,65,63607,406412,[],46.0,114.8,A#,major,258.26,1,147,25
spotify:track:1I6883eWftxG6oq5SYWPXd,"Mr. Shorty","Marty Robbins","The Drifter",65,,23495,115290,[],34.9,97.0,F#,minor,303.25,1,556,76
spotify:track:1OE5l6sedVcIFELMuxQOPI,"Ripple - 2013 Remaster","Grateful Dead","American Beauty (2013 Remaster)",78,,204846,951434,[],52.9,127.8,G,major,251.15,1,226,30
spotify:track:1WaEl2RKIUq7gxakfucrch,"Pennywise - 2005 Remaster",Pennywise,"Pennywise (2005 Remaster)",80,,262267,1577536,[],72.0,97.0,A,major,97.98,1,182,35
spotify:track:1bcoI2VWqABMDhwoZHf5dp,Starman,"Seu Jorge","The Life Aquatic Exclusive Studio Sessions Featuring Seu Jorge",76,42,160502,724433,[],65.2,119.7,A,minor,238.21,1,243,59
spotify:track:1fCeXjoRExPP2qwSBh2aST,"Black & White","Juice WRLD","Goodbye & Good Riddance",87,,415807,6677722,"[""emo rap"",""2018"",""Juice WRLD"",""Hip-Hop"",""melodic""]",66.4,98.7,C,major,188.37,1,384,55
spotify:track:1hj8os1Xxiuo95atpJzfCp,"This Is A Photograph","Kevin Morby","This Is A Photograph",68,43,39913,194939,[],75.9,125.0,A,minor,232.91,1,309,54
spotify:track:1jXky83x0PR5nrRbAleiJC,"30,000 Pounds of Bananas - Live; 1975","Harry Chapin","Greatest Stories Live",58,,7830,28210,[],23.5,74.0,G,major,683.91,1,561,73
spotify:track:1kPBT8S2wJFNAyBMnGVZgL,"I'd Rather Go Blind","Etta James","Tell Mama",88,,969598,5579914,"[""soul"",""blues"",""female vocalists"",""jazz"",""60s""]",55.9,82.7,A,major,156.65,1,154,18
spotify:track:1kW1cRjYubYQZncmKhuQaE,"Ghost Town","Second Best","Second Best",35,,159,574,[],71.1,122.3,A,major,122.17,0,0,0
spotify:track:1m3cn9F4ROKoOr2uMGqmEh,"Место наших встреч","Англия","Тепло от холодных рук",63,35,13158,84755,[],84.3,70.3,E,minor,215.41,1,118,28
spotify:track:1pJS4rS12iA5MryQSAP2kQ,Movement,"LCD Soundsystem","LCD Soundsystem",80,,303879,1265468,[],17.2,98.7,E,major,192.01,1,276,50
spotify:track:1vnKvlb6cj5NLpd1BMJ2jD,"Summer Babe - Winter Version",Pavement,"Slanted & Enchanted",78,,180253,963380,[],66.7,97.0,D,major,196.6,1,152,27
spotify:track:26RiiHb1dcwbMRITBuUQGw,"Mr. Bill Collector","Bone Thugs-N-Harmony","E. 1999 Eternal",70,49,61644,239205,[],59.0,117.2,A#,minor,301.45,1,962,132
spotify:track:2IJftBfq7pJ43tfnOR0RB3,"99 Luftballons",Nena,Nena,89,78,1018269,6811652,"[""80s"",""german"",""pop"",""new wave"",""deutsch""]",20.8,95.3,E,major,234.16,1,189,42
spotify:track:2Pul6SaLL8e0sQhJDBVOr1,DUMB,"Noga Erez","THE VANDALIST",63,59,15452,74366,[],75.3,93.8,D,minor,141.33,1,371,51
spotify:track:2SwkTlANMqzoEMw6k1YaNU,"Stop Fucking With My Head","Karise Eden","Born To Fight",46,24,1022,3750,[],,,,,,1,201,34
spotify:track:2Vin9asYhJvyvBvGMAyi0f,"For Nancy ('Cos It Already Is)","Pete Yorn",musicforthemorningafter,69,,49593,186951,[],40.2,70.3,D,major,223.29,1,146,24
spotify:track:2g7gviEeJr6pyxO7G35EWQ,"Paradise By the Dashboard Light","Meat Loaf","Bat Out Of Hell",81,,330998,1791310,[],33.3,84.0,D,major,505.78,1,1443,168
spotify:track:2he2lkInF7eCoIlsyZsUMC,"When I Come To You","Jonny Lang","Lie To Me",62,33,17768,58673,[],42.7,90.7,C,major,298.73,1,132,15
spotify:track:2iqA5Na5vlo0bnZUf8KT1N,"new body rhumba (from the film White Noise)","LCD Soundsystem","new body rhumba (from the film White Noise)",73,48,76238,444550,[],65.2,137.2,D,minor,445.38,1,519,89
spotify:track:2lWY3EmnZuH2b1f3Sjh5J8,Galahad,"Josh Ritter","To the Yet Unknowing World (B-Sides, Demos, and Remixes)",60,,11324,45174,[],21.9,114.8,C,major,265.46,1,452,44
spotify:track:2mNmKVBJ1U1nuPFJ5VGjCl,Abissama,"Incredible Polo",Abissama,64,13,20684,83989,[],49.6,110.3,E,major,1570.24,1,90,19
spotify:track:2pcqcTamItjb6XOmhZ9dDr,"Dust in My Bones","Cottonfield Blues, Lyra Stone, Reid Hollis","Dust in My Bones",30,34,64,255,,39.0,78.1,A#,minor,47.04,0,0,0
spotify:track:2wnjZXcAT3rCjjqxLeHjv7,"Going Down","Freddie King","Getting Ready... (World)",76,61,181456,647093,[],60.5,84.0,D,minor,202.6,1,102,20
spotify:track:2zRfQKGRrDI0RRo7bVamAC,Blink,"88 Fingers Louie","Behind Bars (Remixed and Remastered)",65,38,26953,92059,[],60.9,76.0,E,major,169.25,1,198,28
spotify:track:35nOLWeyoXbZvhcczCzQit,"Leaving The Light","Genesis Owusu",STRUGGLER,72,44,57282,367459,[],86.2,86.5,C,major,187.88,1,384,62
spotify:track:37ZJ0p5Jm13JPevGcx4SkF,"Livin' On A Prayer","Bon Jovi","Slippery When Wet",94,,2085835,16973813,"[""rock"",""80s"",""classic rock"",""hard rock"",""bon jovi""]",76.6,122.3,E,minor,248.8,1,294,45
spotify:track:37ZpnrZEiA9roiTZDBz6dw,"Father and Son - Live in London","Flight of the Conchords, Jemaine Clement, Bret McKenzie","Live in London",32,,70,433,[],10.4,74.0,G,major,299.94,0,0,0
spotify:track:38Zs2b75JPNB2tS7O7JQnS,"Stoned at the Nail Salon",Lorde,"Solar Power",87,57,494833,6770413,[],22.9,85.2,D,major,264.31,1,290,36
spotify:track:3ABG1UQTk0eLYUAeWkmfMi,"Shimmy Shimmy Ya","Ol' Dirty Bastard","Return to the 36 Chambers: The Dirty Version",84,69,548063,2976251,[],85.7,95.3,B,minor,228.83,1,341,48
